Blog Name, Posts Count, Total Virality 
Abir Ghattas, 59, 518 
Dounia Alexandra Design, 14, 6 
Strategy and Business in the Middle East, 26, 75 
arabglot الناطق بالضاد, 33, 162 
ArabSaga, 204, 295 
The Blog of Tarek Atrissi, 27, 130 
Back in Beirut, 55, 83 
Bambi's Soapbox, 88, 621 
بيروت 5 امبير, 36, 693 
From Beirut to the Beltway, 19, 48 
Beirutista, 94, 998 
خربشات بيروتية, 40, 419 
Tarek Chemaly , 842, 6320 
The Beirut Report, 417, 4758 
Beirut Spring, 51, 486 
Bikaffe, 104, 1081 
Bil amaliyeh, 69, 442 
Lebanese Voices' Blog, 64, 519 
Blog Baladi, 2907, 37794 
Blogging Fair Trade Lebanon, 29, 8 
Blog to Blague, 23, 188 
Chroniques beyrouthines, 37, 146 
Cloud of Lace, 92, 348 
Code4word, 422, 41 
CONFETTI, 46, 53 
Consumedly, 49, 114 
Dirty Kitchen Secrets, 166, 125 
Dusty Wyndow Blog, 43, 439 
 Nour Has a Tumblog, 142, 196 
Ethiopian Suicides, 35, 118 
Eye on the East, 59, 1145 
Fashion To Tracy, 198, 1445 
Figo29's Blog, 135, 958 
.: From Beirut with Funk :., 30, 142 
Gabe's, 39, 282 
مجة, 29, 307 
Ginger Beirut, 33, 42 
Gino's Blog, 781, 13789 
globalnuances, 13, 62 
Global Voices Online (Lebanon), 49, 881 
Green Resistance, 87, 1186 
The Platform, 77, 110 
ربيع العرب, 402, 630 
Hay Khabriyeh!, 20, 58 
Health 'n' Horizons, 68, 528 
Hummus For Thought, 127, 2430 
جمهورية الحمص, 19, 56 
Ink On the Side, 159, 2230 
Ivy Says, 116, 2141 
Lebanon News: Under Rug Swept, 24, 136 
jneen8 « The Cemetery of Random Thoughts, 14, 54 
Joe's Box, 139, 1408 
جـهينة ..., 32, 6 
مواطن جوعان, 87, 1339 
Kadmous, 111, 709 
Karl Remarks, 117, 2735 
Lama's Scrapbook, 30, 98 
L'armoire de Lana, 388, 3149 
Lebanese Blogging Community, 136, 1153 
The Blog of Lebanese Blogs, 29, 146 
Malaak Angel of Peace, 29, 8 
The Lebanese Expatriate, 78, 550 
Lebanon Spring Blog, 36, 134 
Le Clic, 42, 123 
Leelouz World, 20, 76 
Life and Style and Co, 70, 466 
Life With Subtitles, 26, 23 
لبناني, 36, 152 
Mirth and Folly, 54, 306 
Majnouna: Khatt, 34, 116 
Maria Studio, 28, 33 
Marketing in Lebanon, 10, 9 
Me & Beirut, 40, 33 
Babbles Of A Local Girl, 24, 94 
 Me My 50 Shades and L, 59, 753 
Men Aribo - من أريبو, 78, 326 
From Mexico to Beirut, 31, 147 
Mich Café, 63, 194 
The Mideastwire Blog, 135, 709 
Mind Soup, 65, 472 
Miss Farah, 23, 53 
Moulahazat, 73, 1125 
Musiqati, 261, 2165 
خرّوب و زنزلخت, 13, 16 
نقد بنّاء, 109, 636 
Nasri Atallah, 17, 140 
No Garlic No Onions, 1947, 26921 
نور زاهي, 35, 176 
Octavia Nasr's Blog, 84, 974 
Ohmyhappiness, 14, 140 
Phatima's Box, 79, 513 
POW | Photos Of the Week, 154, 2164 
+961 Blog, 318, 2096 
Plush Beirut, 31, 69 
Qaph, 23, 113 
Qifa Nabki, 66, 964 
Racha El Halabi, 30, 162 
Racing Thoughts, 16, 45 
Red Lips High Heels, 190, 1900 
Remarkz, 23, 84 
Rita Chemaly's Blog, 205, 1480 
Rita Kamel's Blog, 111, 1078 
مدوّنة نينار, 69, 621 
Un Peu de Kil Shi, 149, 1064 
Sans Gluten A Beyrouth, 91, 133 
Seen by Maya, 36, 255 
Sietske In Beiroet, 165, 616 
Sleepless in Beirut, 27, 45 
SMEX, 349, 665 
مدونة بيسان, 126, 517 
Snapshot Scenes, 33, 31 
سنديانة الجنوب, 36, 145 
Speakin' the Blues, 309, 3012 
A Separate State of Mind, 321, 3152 
Strawberry Blu, 77, 301 
Taste Of Beirut, 198, 2762 
Tech Ticker, 706, 3490 
The Ads Garage, 46, 525 
The Closet Clause, 279, 2012 
The Code Ship, 10, 67 
The Cube, 24, 105 
The D. Scoop, 173, 234 
The JR Express, 124, 1123 
The Present Perfect, 52, 486 
مدونة تريلا, 28, 547 
When Hope Speaks . أمل إن حكت, 50, 138 
Witchy Lisa, 24, 26 
إِمْرَأَةْ تَنْكَشِفْ, 48, 916 
The Young Levant, 30, 137 
Ziad Majed, 52, 8 
ShezShe, 34, 123 
Fromages & Fridays, 90, 1486 
Nad's Reviews, 519, 3143 
Carmel + Vanilla, 90, 1075 
Paty M's Nutrition World, 29, 15 
Brigitte's Blog, 21, 90 
Tea Calls, 74, 513 
Arabic Type and Typography , 8, 38 
Harf Noon, 54, 8 
Design Fetish, 278, 2658 
The Food Blog, 39, 24 
John Antonios, 12, 53 
Einshtein, 18, 37 
Le Blog de Chanty, 169, 2261 
Hope Clinic Blog, 4, 18 
Justin Salhani, 32, 25 
Hamid Aouad, 54, 47 
Afif's, 27, 161 
جمهورية فوضىستان, 51, 224 
My Wonderland, 15, 73 
Tara Ghazal, 47, 281 
Dexcomics, 67, 211 
زهر الليمون, 31, 12 
Left Hand Red Nose, 48, 6 
Samar la de Beirut, 108, 1038 
جدار .. برسم الإيجار, 49, 894 
بلد التستوستيرون, 14, 84 
دونكيشوتات, 18, 16 
Ryan Hamze, 48, 318 
اليوم- غدا, 128, 1152 
Joumana Nammour, 32, 633 
Let's tlk abt movies | reviews by Anis Tabet, 251, 4239 
Revolver, 128, 1430 
 The Cinema Goon, 56, 376 
monkyseemonkydo, 203, 2273 
Rou's Sweet Corner, 43, 524 
50 Books 365 Days, 21, 4 
Donald's Blog, 9, 77 
Pretty Capricieuse, 166, 1348 
Helen Mackreath, 36, 28 
Beirut and I, 23, 158 
Salem Mneimneh, 14, 21 
Lara Speaks Style, 133, 1153 
On The Sidewalks, 63, 460 
Dropsofcream, 61, 317 
Vaneliassa's, 3, 33 
Take Security Back Blog, 39, 80 
The BiGsAm.com, 176, 1285 
Expatriate in Lebanon, 39, 321 
Pro Beirut, 16, 238 
Nicolas El Hayek, 13, 46 
DeliberateDeception, 28, 276 
Bananapook, 64, 683 
Silly Goon, 50, 395 
Ultimate Gate, 104, 1950 
The Journey Starts Here, 86, 707 
VEROMODA The Blog, 288, 3691 
Sunset De Amor, 59, 1385 
Maya Zankoul's Amalgam, 16, 13 
Scrawl Space, 44, 416 
Pearl's  Powder, 63, 195 
نَقْرَأ , 24, 361 
Rasha's Choice, 63, 235 
 CELINE K BLOG , 34, 92 
HumourKind, 29, 107 
علي شهاب, 155, 2110 
Cook In Five Square Meters, 41, 963 
2famous.TV, 82, 2188 
Nouchaline: My Fashion Blog, 95, 618 
